A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
138.800,108.300,81.200,58.400,35.500,19.100,
,44.400,35.800,23.700,15.200,4.500,
97.200,78.000,46.900,37.700,26.800,11.200,
141.300,106.000,83.500,51.000,37.600,19.400,
140.000,109.300,82.500,59.500,36.700,19.600,
137.700,101.900,78.800,46.600,32.500,17.800,
,63.900,52.900,41.900,32.700,10.500,
79.100,61.900,51.500,45.300,37.900,13.200,
148.500,116.000,87.500,63.300,38.700,20.800,
115.500,92.500,73.100,53.800,38.100,16.100,
,56.500,44.400,34.000,22.100,4.500,
108.900,80.600,66.000,48.700,,12.000,
82.500,67.700,57.400,47.400,,11.500,
98.100,63.700,52.800,41.200,32.100,10.300,
106.200,76.600,63.000,51.200,39.000,12.200,
149.200,116.500,87.900,63.500,38.700,20.900,
121.700,98.600,77.700,56.700,39.900,17.100,
110.500,81.000,66.500,49.000,,12.000,
138.600,112.200,86.200,53.800,37.100,14.100,
105.800,76.000,63.800,52.100,41.300,13.100,
105.300,87.000,62.000,47.000,39.900,8.700,
,64.900,53.900,42.600,33.500,10.800,
,53.100,47.000,41.100,35.300,15.800,
143.100,117.100,92.800,56.200,38.300,15.800,
107.100,77.000,64.600,52.700,41.800,13.500,
143.200,108.300,83.400,48.500,35.200,17.800,
91.100,74.500,45.200,36.800,26.800,11.200,
113.900,89.300,71.300,46.500,30.700,16.100,
,81.100,62.600,34.800,22.900,8.000,
138.900,107.500,90.700,59.900,43.300,18.000,
142.300,107.400,79.700,48.500,32.500,17.800,
147.000,117.400,99.100,72.800,51.900,19.500,
106.000,85.800,65.100,42.400,22.200,10.800,
114.900,100.400,80.100,36.700,22.900,9.700,
89.400,72.800,44.300,34.200,25.100,11.200,
143.200,108.300,83.400,48.500,35.300,17.800,
98.100,63.700,52.800,41.200,32.100,10.300,
,60.000,49.800,39.000,30.300,9.800,
,52.200,38.400,28.000,17.800,4.500,
,58.800,48.800,38.200,30.100,9.900,
,63.400,52.600,41.200,32.100,10.300,
137.700,101.900,78.800,46.600,32.500,17.800,
154.700,129.200,106.800,55.000,36.300,18.400,
