Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
35.700,29.400,22.500,14.800,8.500,,,
,17.900,14.500,11.200,5.700,,,
37.500,29.900,22.500,15.700,7.700,,,
,29.800,23.600,,8.500,,,
39.200,30.700,24.900,19.900,15.900,,,
,29.400,25.100,22.000,17.900,,,
34.300,29.400,22.700,20.800,15.700,,,
54.200,41.100,29.600,24.700,17.900,,,
,30.300,26.000,22.000,17.900,,,
50.600,43.200,33.600,20.500,17.700,,,
35.700,30.000,23.000,21.900,15.800,,,
47.300,37.400,27.600,18.400,12.300,,,
61.000,44.300,31.800,22.400,17.100,,,
39.200,32.000,24.500,16.000,9.600,,,
52.400,42.200,35.000,21.300,18.800,,,
35.000,26.200,18.900,13.200,7.000,,,
30.900,26.100,18.400,8.700,5.700,,,
47.200,39.900,32.500,21.500,14.400,,,
57.400,46.600,37.600,25.500,17.100,,,
41.600,32.800,24.100,15.700,11.300,,,
50.200,39.200,27.500,,13.100,,,
42.900,32.100,27.800,21.900,17.000,,,
48.800,38.800,30.100,21.400,10.600,,,
47.700,36.700,26.500,,12.400,,,
38.600,29.200,22.400,13.800,8.200,,,
61.900,48.600,36.000,23.800,16.600,,,
52.400,42.200,35.000,21.300,18.800,,,
40.600,35.200,29.800,20.300,,,,
48.800,38.200,30.300,21.000,10.400,,,
38.400,30.800,23.700,15.000,9.200,,,
45.100,34.000,25.200,,16.100,,,
38.600,32.300,26.900,15.500,12.600,,,
42.400,33.100,24.300,16.500,10.800,,,
44.400,34.700,25.500,17.500,11.700,,,
52.500,44.600,34.800,21.300,18.300,,,
,24.700,19.300,8.900,6.100,,,
58.900,42.300,32.000,24.600,18.100,,,
47.900,37.900,27.900,18.900,12.900,,,
49.400,37.200,25.300,16.600,15.900,,,
56.200,42.300,28.800,21.200,15.900,,,
,27.100,21.400,,7.600,,,
42.400,33.100,24.300,16.500,10.800,,,
45.000,37.900,31.100,20.700,13.400,,,
51.300,43.500,33.600,19.500,12.700,,,
51.500,38.700,25.600,19.600,13.000,,,
58.700,41.700,28.700,22.500,17.800,,,
56.900,43.800,34.100,27.400,17.900,,,
36.800,34.100,28.100,15.300,13.000,,,
61.500,44.800,34.700,23.100,18.400,,,
