Unnamed: 0,Mecanizada,2.000,2.066,2.160,2.350,2.585,3.489,5.785,5.525,3.626
Diamante do,Mecanizável,1.750,1.650,1.785,1.963,2.250,3.037,5.699,5.420,3.263
MistaNorte,Não Mecanizável,560,540,640,750,825,1.130,2.813,2.800,1.869
,Inaproveitáveis,520,485,550,640,720,972,1.795,1.760,1.725
