Colorado,Roxa,Mecanizada,2.600,2.400,3.000,3.800,5.400,9.000,12.000,9.600,8.400
,Mecanizável,-,-,-,-,-,-,-,,,
,Não Mecanizável,1.000,1.000,1.300,1.600,2.200,2.500,4.200,3.400,2.950,
,Inaproveitáveis,-,-,900,1.100,540,900,1.200,960,840,
,,,,,,,,,,,
Mista,Mecanizada,2.000,2.000,2.200,2.800,4.600,6.500,10.500,7.900,7.000,
,Mecanizável,-,-,-,-,-,-,-,,,
,Não Mecanizável,1.100,1.100,1.100,1.400,2.150,2.500,3.600,2.800,2.500,
,Inaproveitáveis,-,-,800,1.000,-,650,1.050,790,700,
,,,,,,,,,,,
Arenosa,Mecanizada,1.700,1.600,1.750,2.100,3.500,5.000,8.000,6.000,6.500,
Mecanizável,-,-,-,-,-,-,-,,,,
Não Mecanizável,1.000,1.000,1.000,1.200,1.750,2.000,3.600,2.700,2.275,,
Inaproveitáveis,-,-,700,900,350,500,800,600,650,,
